greek,english
στερεό,solid
στερεό,solid
στέρεο,solid
στεριά,land
στερούμαι,lack
στιγμή,dot
στοιχείο,element
στολίδι,ornament
στόμα,mouth
στομάχι,stomach
στόμιο,mouthpiece
στοχεύω,target
στρατιώτης,soldier
στρατιωτικό,military
στρατός,army
στρώμα,layer
στυλό,pen
στύλος,pen
συγκεντρωμένο,concentrated
συγκεχυμένο,confused
συγκρίνω,compare
συγχωρώ,forgive
συζητάω,discuss
σύζυγος,husband
σύκο,FIG
συκώτι,liver
συλλαβή,syllable
συλλαμβάνω,capture
συλλογισμός,reasoning
συμβαίνω,happen
συμβιβασμός,compromise
συμβόλαιο,contract
σύμβολο,symbol
συμβουλή,advice
συμπαθώ,like
σύμπαν,universe
συμπεριφορά,behavior
συμπυκνωμένο,condensed
συμφραζόμενα,context
σύμφωνο,pact
συμφωνώ,agree
συν,plus
συναντάω,meet
σύνδεσμος,link
συνδετήρας,paper clip
συνειδητό,conscious
συνέπεια,consistency
συνεργάζομαι,cooperate
συνεχίζω,continue
συνήθειο,habit
συνηθισμένο,usual
συνθλίβω,crush
σύννεφο,cloud
σύνολο,total
σύνορο,border
σύνταγμα,constitution
σύντομα,soon
σύντομο,sort
σύριγγα,syringe
σύρμα,wire
συστέλλομαι,contract
σύστημα,system
συσχετίζω,correlate
συσχετισμός,correlation
συχνά,often
συχνότητα,frequency
σφαίρα,sphere
σφήνα,wedge
σφιχτό,tight
σφουγγάρι,sponge
σφυρί,hammer
σφυρίζω,whistle
σχέδιο,plan
σχέδιο,plan
σχεδόν,almost
σχέση,relationship
σχετικά,about
σχήμα,shape
σχισμή,slot
σχοινί,rope
σχολείο,school
σχόλιο,comment
σώζω,save
σωλήνας,tubing
σώμα,body
σωρός,pile
σωστό,right
ταβάνι,ceiling
ταβέρνα,tavern
ταινία,film
ταίριασμα,match
ταλέντο,talent
τάξη,class
ταξίδι,journey
ταξινόμηση,classification
ταπεινό,humble
ταραχή,agitation
τάση,trend
ταύρος,Taurus
ταυτόσημο,identical
ταχυδρομώ,post
ταχύτητα,speed
τελειώνω,I finish
τελετή,ceremony
τελευταίο,last one
τελικά,after all
τέννις,tennis
τεντώνω,stretch
τεράστιο,huge
τέσσερα,four
τετράγωνο,square
τέχνη,art
τεχνητό,artificial
τεχνική,technique
τεχνολογία,technology
τζάκι,fireplace
τηγάνι,pan
τηλεσκόπιο,telescope
τηλεόραση,TV
τηλέφωνο,phone
τίγρη,tiger
τιμή,price
τιμωρώ,punish
τμήμα,Department
το,the
το,the
το,the
τοίχος,wall
τόνος,tuna fish
τόξο,bow
τοποθετώ,place
τόπος,locus
τουαλέττα,toilet
τούβλο,brick
τουλάχιστον,at least
τουφέκι,rifle
τραβάω,shoot
τραγουδάω,sing
τράπεζα,bank
τραπέζι,table
τρελό,crazy
τρένο,train
τρέχω,I run
τρία,three
τριανταφυλλιά,rose
τριαντάφυλλο,rose
τρίβω,rub
τρίγωνο,triangle
τρίχα,hair
τρόπος,way
τροφή,food
τροχαλία,pulley
τροχός,wheel
τρύπα,hole
τρυπάνι,drill
τρύπιο,hole
τρώω,I eat
τσάι,tea
τσάντα,bag
τσεκούρι,ax
τσέπη,pocket
τσιγάρο,cigarette
τσιγκούνης,stingy
τσουγκράνα,rake
τυλίγω,wrap
τύμπανο,drum
τυπώνω,print
τυρί,cheese
τυφώνας,Typhon
τύχη,luck
τώρα,now
υγιές,healthy
υγρό,liquid
υγρό,liquid
ύλη,material
υλικό,material
υπακούω,obey
υπάρχω,exist
υπέρ,for
υπέρβαρο,overweight
υπεύθυνο,responsible
υπευθυνότητα,responsibility
υπηρετώ,serve
υπνοδωμάτιο,bedroom
υπόγειο,basement
υπογραμμίζω,underline
υποθέτω,I assume
υπολογίζω,calculate
υπολογιστής,computer
υπόλοιπο,rest of
υπομονή,patience
υποστηρίζω,I support
υπόσχεση,promise
υφαίνω,weave
ύφασμα,fabric
ύψος,height
φαγητό,food
φαίνομαι,look
φάκελος,envelope
φακή,lentil
φακός,lens
φάλαινα,whale
φαντάζομαι,I imagine
φάντασμα,ghost
φάρμακο,medicine
φασόλι,bean
φεγγάρι,moon
φελός,veil
φέρνω,I bring
φεύγω,I'm leaving
φθινόπωρο,autumn
φίδι,snake
φιλάω,kiss
φιλεύσπλαχνο,merciful
φίλη,friend
φιλί,kiss
φλέβα,vein
φλυτζάνι,cup
φοβάμαι,I'm afraid
φορά,time
φόρμα,form
φόρος,tax
φορτηγό,truck
φορτίο,load
φουρνιά,bake
φούρνος,oven
φούστα,skirt
φούτμπωλ,feather
φράχτης,fence
φρένο,brake
φρούτο,fruit
φρύδι,eyebrow
φτάνω,I arrive
φταρνίζομαι,sneeze
φτέρνα,heel
φτερό,feather
φτερούγα,wing
φτηνό,cheap
φτυάρι,shovel
φτύνω,spit
φτωχό,poor
φυλακή,prison
φυλή,race
φύλλο,ply
φύλλο,ply
φύλο,sex
φυσάω,blowing
φύση,nature
φυστίκι,peanut
φυτό,plant
φωλιά,nest
φωνάζω,Yell
φωνή,voice
φωνήεν,vowel
φως,light
φωτιά,fire
φωτογραφία,Photo
χίλια,a thousand
χαλάζι,hail
χαλαζίας,quartz
χαλαρό,relaxed
χαλινάρι,bridle
χαλκός,copper
χαμηλό,low
χαμογελάω,I smile
χάνω,I lose
χαρακτηριστικό,feature
χαρούμενο,happy
χάρτης,Map
χαρτί,paper
χείλος,lip
χειμώνας,winter
χειρονομώ,gesture
χελώνα,tortoise
χέρι,hand
χερούλι,handle
χημεία,chemistry
χημική,chemical
χθες,yesterday
χιόνι,snow
χοίρος,pig
χόκεϋ,hockey
χορεύω,I dance
χουρμάς,date
χρειάζομαι,need
χρέος,debt
χρέωση,charge
χρησιμοποιώ,I am using
χρονικό,timing
χρόνος,year
χρυσός,gold
χρώμα,colour
χτένα,comb
χτίζω,build
χτυπάω,beat
χτύπημα,hit
χυμός,juice
χύνω,shed
χώμα,soil
χώρα,country
χωριό,village
χωρίς,without
χωριστά,separately
χώρος,space
ψαλίδι,pair of scissors
ψαλιδίζω,snip
ψάρι,fish
ψέμμα,lie
ψεύδομαι,lie
ψεύτικο,false
ψηλό,tall
ψήνω,frizz
ψηφίζω,vote
ψηφίο,digit
ψυχή,soul
ψυχρό,cold
ψωμί,bread
ωθώ,push
ωκεανός,ocean
ώμος,raw
ώρα,time
ωραίο,nice
ώριμο,ripe
